id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,626,5610,2880209,196,10.32,7.55,164,8.63,8.38,475,25.0,17.96,0.49,0.52,0.41,0.38,16.9,155.11
1,581,2459,521214,179,9.42,7.28,167,8.79,10.37,426,22.42,19.73,0.51,0.54,0.49,0.46,16.01,158.28
2,532,20824,19481759,164,8.63,6.2,138,7.26,6.78,419,22.05,17.64,0.55,0.6,0.4,0.41,20.9,150.52
3,548,2532,767519,176,9.78,7.22,131,7.28,6.32,438,24.33,18.3,0.53,0.57,0.46,0.47,12.56,152.56
4,689,3283,875321,182,10.11,6.99,200,11.11,14.81,477,26.5,22.21,0.53,0.58,0.46,0.47,13.55,149.65
5,633,4692,2407706,170,9.44,6.34,159,8.83,8.77,469,26.06,20.2,0.51,0.56,0.5,0.56,13.36,151.13
6,688,4926,1562589,164,9.65,7.17,186,10.94,18.08,456,26.82,22.53,0.53,0.57,0.47,0.51,15.71,146.57
7,702,11421,6067752,197,10.94,7.14,216,12.0,13.79,530,29.44,20.56,0.51,0.56,0.42,0.42,9.98,154.57
8,719,6096,3220452,193,10.16,7.37,183,9.63,9.37,525,27.63,21.73,0.55,0.54,0.43,0.43,11.84,149.97
9,707,181824,171771185,200,10.53,8.04,217,11.42,15.95,509,26.79,21.43,0.53,0.57,0.47,0.52,13.98,146.11
10,761,4632,2178955,186,10.33,8.12,173,9.61,9.34,515,28.61,26.05,0.47,0.49,0.42,0.41,8.71,145.72
11,860,7899,4852233,224,12.44,8.62,229,12.72,13.97,584,32.44,29.11,0.64,0.66,0.42,0.45,11.3,147.28
12,939,188163,227528637,225,11.84,7.86,252,13.26,19.96,603,31.74,27.7,0.6,0.65,0.39,0.42,15.45,135.3
13,1008,15156,12487324,227,13.35,12.48,327,19.24,39.8,586,34.47,31.99,0.6,0.62,0.41,0.42,9.99,143.82
14,882,23670,22153879,213,12.53,10.14,184,10.82,11.54,603,35.47,31.63,0.64,0.68,0.44,0.41,12.16,140.41
15,1000,16881,13772750,219,11.53,9.55,210,11.05,13.07,641,33.74,30.87,0.58,0.61,0.44,0.45,17.4,135.78
16,885,227495,242026297,222,11.68,11.03,166,8.74,10.12,562,29.58,29.27,0.56,0.61,0.48,0.48,14.35,129.17
17,1191,77262,79062656,230,12.11,10.89,226,11.89,16.26,629,33.11,36.33,0.64,0.67,0.37,0.36,14.43,133.74
18,1158,93086,72421613,223,11.74,9.22,312,16.42,33.66,680,35.79,36.84,0.56,0.6,0.43,0.37,15.42,134.85
19,1285,43789,38023493,251,15.69,13.07,193,12.06,12.99,753,47.06,44.36,0.66,0.67,0.48,0.45,19.2,131.0
20,1074,238549,240472257,241,13.39,11.45,182,10.11,8.04,692,38.44,41.79,0.64,0.66,0.52,0.5,16.19,129.4
21,1217,107370,99159024,223,12.39,9.44,227,12.61,13.05,796,44.22,49.51,0.66,0.68,0.42,0.41,14.24,136.07
22,1553,214899,216882525,232,12.89,9.91,189,10.5,9.93,917,50.94,58.14,0.53,0.55,0.45,0.45,16.09,132.72
23,2221,102434,68347741,281,14.79,14.45,200,10.53,9.1,1175,61.84,87.68,0.6,0.6,0.46,0.41,15.67,129.52
24,2480,159268,125452751,266,14.0,14.67,180,9.47,13.46,1118,58.84,101.17,0.6,0.63,0.42,0.36,21.08,136.74
25,1808,58632,44937123,274,14.42,13.85,201,10.58,13.33,1000,52.63,80.68,0.58,0.63,0.49,0.44,8.8,125.95
26,1750,104055,82135971,256,13.47,13.7,202,10.63,18.57,956,50.32,78.61,0.54,0.58,0.42,0.34,9.3,134.84
27,1697,126355,111892943,250,15.62,15.66,170,10.62,15.6,928,58.0,80.96,0.61,0.67,0.5,0.44,11.98,118.38
28,2124,200796,180426619,312,17.33,18.68,255,14.17,29.88,1082,60.11,87.6,0.6,0.6,0.39,0.31,17.12,133.22
29,2291,159196,134939574,292,15.37,15.14,354,18.63,47.83,1121,59.0,83.98,0.64,0.66,0.41,0.36,13.33,135.07
30,1623,84782,78280642,223,12.39,11.63,218,12.11,16.19,871,48.39,72.36,0.63,0.65,0.45,0.38,11.94,123.69
31,1456,573511,539058054,247,13.0,12.58,189,9.95,12.55,892,46.95,77.9,0.55,0.57,0.44,0.41,15.99,131.27
32,1696,253822,248717376,259,13.63,13.93,184,9.68,12.65,992,52.21,83.55,0.57,0.61,0.42,0.4,14.75,130.0
33,1823,197661,222331361,262,14.56,16.78,169,9.39,12.92,983,54.61,81.92,0.5,0.52,0.49,0.46,14.1,134.02
34,2737,183415,168903753,267,14.05,14.41,184,9.68,11.39,1324,69.68,122.21,0.6,0.63,0.48,0.43,13.16,128.3
35,2281,211748,167728117,301,16.72,17.26,197,10.94,11.85,1279,71.06,102.28,0.65,0.66,0.38,0.37,16.76,138.49
36,2301,315676,313434998,274,14.42,14.85,217,11.42,19.75,1145,60.26,87.49,0.56,0.59,0.43,0.39,14.59,139.17
37,1774,141066,115758916,248,13.78,14.68,184,10.22,19.42,965,53.61,76.27,0.5,0.52,0.45,0.37,12.72,131.6
38,1564,156036,163180137,267,14.05,14.93,185,9.74,13.54,928,48.84,68.81,0.58,0.62,0.39,0.36,16.91,149.14
39,1629,179322,164617430,263,13.84,14.24,181,9.53,10.05,955,50.26,72.63,0.62,0.63,0.4,0.36,14.89,143.48
40,2215,193820,194931084,288,16.0,16.85,180,10.0,11.14,1171,65.06,97.21,0.58,0.6,0.39,0.36,12.65,129.42
41,2315,198335,188306163,307,16.16,18.35,241,12.68,15.34,1231,64.79,93.05,0.58,0.59,0.42,0.39,19.82,132.48
42,1638,85962,73394486,242,12.74,13.82,169,8.89,8.86,953,50.16,74.36,0.58,0.59,0.4,0.39,13.08,140.36
43,1725,131310,99858547,247,13.72,13.97,194,10.78,12.83,1041,57.83,81.48,0.64,0.65,0.44,0.37,25.08,137.4
44,2060,166304,166473543,299,15.74,15.89,189,9.95,10.79,1188,62.53,87.88,0.65,0.71,0.45,0.45,16.29,140.19
45,2020,235636,203483037,265,14.72,14.66,215,11.94,15.56,1130,62.78,91.36,0.56,0.59,0.51,0.51,19.29,141.51
46,2200,129330,108047437,272,15.11,16.39,187,10.39,10.9,1192,66.22,109.0,0.57,0.58,0.49,0.46,13.71,136.72
47,1779,109752,93351688,238,13.22,13.95,194,10.78,15.28,994,55.22,88.5,0.62,0.64,0.53,0.49,16.16,134.06
48,1948,137575,119324871,289,15.21,15.06,181,9.53,11.35,1137,59.84,84.81,0.54,0.56,0.5,0.47,14.84,127.95
49,1757,142154,126046075,269,14.16,14.7,185,9.74,11.68,1080,56.84,85.7,0.58,0.62,0.44,0.41,16.38,137.33
50,1917,172807,160255781,263,13.84,14.92,176,9.26,10.42,1107,58.26,83.35,0.63,0.65,0.47,0.49,12.81,132.92
51,1945,223670,234916931,278,14.63,15.0,183,9.63,9.12,1149,60.47,88.87,0.61,0.62,0.42,0.4,20.79,128.91
52,1587,116151,105613994,231,12.16,12.34,189,9.95,11.51,908,47.79,78.43,0.62,0.62,0.39,0.37,11.46,143.22
53,1336,115210,113366423,225,12.5,11.93,144,8.0,7.67,842,46.78,60.07,0.6,0.66,0.45,0.43,17.28,135.74
54,1712,62596,43223546,259,13.63,13.7,162,8.53,10.5,965,50.79,67.93,0.56,0.58,0.43,0.37,12.32,139.82
55,1940,138080,129045267,253,14.88,13.83,166,9.76,8.17,1046,61.53,79.42,0.62,0.64,0.43,0.35,14.76,133.11
56,1753,251326,227673657,236,13.11,12.45,227,12.61,19.36,1005,55.83,73.35,0.59,0.59,0.42,0.41,18.36,133.54
57,2205,257750,241326584,285,15.0,17.4,235,12.37,18.66,1139,59.95,95.56,0.66,0.69,0.41,0.39,16.79,137.74
