detector,anomaly_type,window_size,trial,tpr,fpr,precision,f1,detection_latency,tp,fp,tn,fn
"ZScore(w=10, thr=3.0)",burst,10,0,0.0,0.0744,0.0,0.0,-1,0,2996,37286,5
"MAD(w=10, thr=3.5)",burst,10,0,0.6,0.1893,0.0004,0.0008,0,3,7624,32658,2
"EWMA(lambda=0.2, L=3.5)",burst,10,0,1.0,0.3099,0.0004,0.0008,0,5,12484,27798,0
"CUSUM(k=0.5, h=3.5)",burst,10,0,1.0,0.1111,0.0011,0.0022,0,5,4477,35805,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,0,0.4,0.1283,0.0004,0.0008,1,2,5170,35112,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,0,0.0,0.0426,0.0,0.0,-1,0,1716,38566,5
"ZScore(w=10, thr=3.0)",burst,10,1,0.0,0.0728,0.0,0.0,-1,0,2174,27709,5
"MAD(w=10, thr=3.5)",burst,10,1,1.0,0.146,0.0011,0.0023,0,5,4362,25521,0
"EWMA(lambda=0.2, L=3.5)",burst,10,1,0.0,0.0037,0.0,0.0,-1,0,111,29772,5
"CUSUM(k=0.5, h=3.5)",burst,10,1,0.0,0.0025,0.0,0.0,-1,0,76,29807,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,1,0.0,0.0816,0.0,0.0,-1,0,2439,27444,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,1,0.0,0.0131,0.0,0.0,-1,0,390,29493,5
"ZScore(w=10, thr=3.0)",burst,10,2,0.2,0.0689,0.0004,0.0007,0,1,2774,37506,4
"MAD(w=10, thr=3.5)",burst,10,2,1.0,0.1763,0.0007,0.0014,0,5,7100,33180,0
"EWMA(lambda=0.2, L=3.5)",burst,10,2,0.8,0.0593,0.0017,0.0033,1,4,2389,37891,1
"CUSUM(k=0.5, h=3.5)",burst,10,2,1.0,0.0454,0.0027,0.0054,0,5,1827,38453,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,2,0.4,0.0873,0.0006,0.0011,1,2,3518,36762,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,2,0.0,0.0083,0.0,0.0,-1,0,333,39947,5
"ZScore(w=10, thr=3.0)",burst,10,3,0.2,0.063,0.0004,0.0008,0,1,2540,37753,4
"MAD(w=10, thr=3.5)",burst,10,3,1.0,0.1214,0.001,0.002,0,5,4890,35403,0
"EWMA(lambda=0.2, L=3.5)",burst,10,3,0.0,0.0746,0.0,0.0,-1,0,3005,37288,5
"CUSUM(k=0.5, h=3.5)",burst,10,3,0.0,0.0898,0.0,0.0,-1,0,3619,36674,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,3,0.0,0.0962,0.0,0.0,-1,0,3875,36418,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,3,0.0,0.0002,0.0,0.0,-1,0,8,40285,5
"ZScore(w=10, thr=3.0)",burst,10,4,0.2,0.0772,0.0003,0.0006,0,1,3109,37164,4
"MAD(w=10, thr=3.5)",burst,10,4,1.0,0.1979,0.0006,0.0013,0,5,7969,32304,0
"EWMA(lambda=0.2, L=3.5)",burst,10,4,1.0,0.1885,0.0007,0.0013,0,5,7590,32683,0
"CUSUM(k=0.5, h=3.5)",burst,10,4,1.0,0.1006,0.0012,0.0025,0,5,4052,36221,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,4,1.0,0.1221,0.001,0.002,0,5,4918,35355,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,4,0.8,0.0765,0.0013,0.0026,1,4,3081,37192,1
"ZScore(w=10, thr=3.0)",burst,10,5,0.2,0.0528,0.0005,0.0009,0,1,2126,38167,4
"MAD(w=10, thr=3.5)",burst,10,5,0.8,0.0912,0.0011,0.0022,0,4,3674,36619,1
"EWMA(lambda=0.2, L=3.5)",burst,10,5,0.8,0.6376,0.0002,0.0003,1,4,25692,14601,1
"CUSUM(k=0.5, h=3.5)",burst,10,5,1.0,0.3497,0.0004,0.0007,0,5,14089,26204,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,5,0.2,0.1778,0.0001,0.0003,2,1,7165,33128,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,5,0.0,0.007,0.0,0.0,-1,0,284,40009,5
"ZScore(w=10, thr=3.0)",burst,10,6,0.2,0.0745,0.0003,0.0007,0,1,3001,37279,4
"MAD(w=10, thr=3.5)",burst,10,6,1.0,0.1768,0.0007,0.0014,0,5,7122,33158,0
"EWMA(lambda=0.2, L=3.5)",burst,10,6,0.0,0.0069,0.0,0.0,-1,0,276,40004,5
"CUSUM(k=0.5, h=3.5)",burst,10,6,0.0,0.0053,0.0,0.0,-1,0,213,40067,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,6,0.0,0.0814,0.0,0.0,-1,0,3277,37003,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,6,0.4,0.7149,0.0001,0.0001,0,2,28797,11483,3
"ZScore(w=10, thr=3.0)",burst,10,7,0.2,0.0644,0.0004,0.0008,0,1,2594,37693,4
"MAD(w=10, thr=3.5)",burst,10,7,0.8,0.1236,0.0008,0.0016,0,4,4980,35307,1
"EWMA(lambda=0.2, L=3.5)",burst,10,7,1.0,0.8282,0.0001,0.0003,0,5,33366,6921,0
"CUSUM(k=0.5, h=3.5)",burst,10,7,1.0,0.6178,0.0002,0.0004,0,5,24889,15398,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,7,1.0,0.448,0.0003,0.0006,0,5,18047,22240,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,7,0.0,0.0077,0.0,0.0,-1,0,311,39976,5
"ZScore(w=10, thr=3.0)",burst,10,8,0.2,0.0822,0.0004,0.0008,0,1,2367,26415,4
"MAD(w=10, thr=3.5)",burst,10,8,1.0,0.1805,0.001,0.0019,0,5,5194,23588,0
"EWMA(lambda=0.2, L=3.5)",burst,10,8,1.0,0.0199,0.0087,0.0172,0,5,573,28209,0
"CUSUM(k=0.5, h=3.5)",burst,10,8,1.0,0.0102,0.0168,0.033,0,5,293,28489,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,8,0.4,0.0832,0.0008,0.0017,1,2,2395,26387,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,8,0.0,0.001,0.0,0.0,-1,0,30,28752,5
"ZScore(w=10, thr=3.0)",burst,10,9,0.2,0.0827,0.0035,0.007,0,1,281,3116,4
"MAD(w=10, thr=3.5)",burst,10,9,1.0,0.2449,0.006,0.0119,0,5,832,2565,0
"EWMA(lambda=0.2, L=3.5)",burst,10,9,0.0,0.0748,0.0,0.0,-1,0,254,3143,5
"CUSUM(k=0.5, h=3.5)",burst,10,9,0.0,0.0392,0.0,0.0,-1,0,133,3264,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,9,0.0,0.0865,0.0,0.0,-1,0,294,3103,5
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,9,0.0,0.1001,0.0,0.0,-1,0,340,3057,5
"ZScore(w=10, thr=3.0)",burst,10,10,0.2,0.065,0.0004,0.0008,0,1,2620,37669,4
"MAD(w=10, thr=3.5)",burst,10,10,1.0,0.1373,0.0009,0.0018,0,5,5530,34759,0
"EWMA(lambda=0.2, L=3.5)",burst,10,10,0.0,0.0026,0.0,0.0,-1,0,103,40186,5
"CUSUM(k=0.5, h=3.5)",burst,10,10,0.0,0.0268,0.0,0.0,-1,0,1081,39208,5
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,10,0.2,0.0817,0.0003,0.0006,0,1,3290,36999,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,10,0.0,0.0,0.0,0.0,-1,0,1,40288,5
"ZScore(w=10, thr=3.0)",burst,10,11,0.4,0.0413,0.0012,0.0024,0,2,1627,37790,3
"MAD(w=10, thr=3.5)",burst,10,11,1.0,0.0824,0.0015,0.0031,0,5,3246,36171,0
"EWMA(lambda=0.2, L=3.5)",burst,10,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
"CUSUM(k=0.5, h=3.5)",burst,10,11,0.2,0.0298,0.0008,0.0017,2,1,1176,38241,4
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,11,0.2,0.0809,0.0003,0.0006,4,1,3188,36229,4
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,11,0.0,0.0,0.0,0.0,-1,0,0,39417,5
"ZScore(w=10, thr=3.0)",burst,10,12,0.0,0.0644,0.0,0.0,-1,0,2595,37692,5
"MAD(w=10, thr=3.5)",burst,10,12,0.8,0.1237,0.0008,0.0016,0,4,4984,35303,1
"EWMA(lambda=0.2, L=3.5)",burst,10,12,1.0,0.8285,0.0001,0.0003,0,5,33376,6911,0
"CUSUM(k=0.5, h=3.5)",burst,10,12,1.0,0.6179,0.0002,0.0004,0,5,24892,15395,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,12,1.0,0.4483,0.0003,0.0006,0,5,18060,22227,0
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,12,0.6,0.0079,0.0094,0.0185,2,3,317,39970,2
"ZScore(w=10, thr=3.0)",burst,10,13,0.2,0.0674,0.0004,0.0007,0,1,2715,37577,4
"MAD(w=10, thr=3.5)",burst,10,13,1.0,0.2194,0.0006,0.0011,0,5,8840,31452,0
"EWMA(lambda=0.2, L=3.5)",burst,10,13,1.0,0.0829,0.0015,0.003,0,5,3339,36953,0
"CUSUM(k=0.5, h=3.5)",burst,10,13,1.0,0.0431,0.0029,0.0057,0,5,1737,38555,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,13,0.6,0.089,0.0008,0.0017,0,3,3588,36704,2
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,13,0.6,0.0194,0.0038,0.0076,2,3,780,39512,2
"ZScore(w=10, thr=3.0)",burst,10,14,0.2,0.0598,0.0004,0.0008,0,1,2410,37882,4
"MAD(w=10, thr=3.5)",burst,10,14,0.6,0.1258,0.0006,0.0012,0,3,5070,35222,2
"EWMA(lambda=0.2, L=3.5)",burst,10,14,1.0,0.0825,0.0015,0.003,0,5,3325,36967,0
"CUSUM(k=0.5, h=3.5)",burst,10,14,1.0,0.0373,0.0033,0.0066,0,5,1503,38789,0
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,14,0.6,0.0891,0.0008,0.0017,0,3,3592,36700,2
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,14,0.8,0.0192,0.0052,0.0102,1,4,772,39520,1
"ZScore(w=10, thr=3.0)",burst,10,15,0.4,0.0471,0.0011,0.0021,0,2,1898,38395,3
"MAD(w=10, thr=3.5)",burst,10,15,1.0,0.0772,0.0016,0.0032,0,5,3110,37183,0
"EWMA(lambda=0.2, L=3.5)",burst,10,15,0.6,0.6932,0.0001,0.0002,2,3,27930,12363,2
"CUSUM(k=0.5, h=3.5)",burst,10,15,0.6,0.3919,0.0002,0.0004,1,3,15792,24501,2
"PageHinkley(delta=0.5, lambda=12.0)",burst,10,15,0.4,0.1672,0.0003,0.0006,1,2,6739,33554,3
"SlidingWindow(mean, w=10, thr=3.0)",burst,10,15,0.0,0.1652,0.0,0.0,-1,0,6657,33636,5
"ZScore(w=10, thr=3.0)",burst,10,16,0.0,0.0745,0.0,0.0,-1,0,3002,37278,5
"MAD(w=10, thr=3.5)",burst,10,16,0.6,0.1769,0.0004,0.0008,0,3,7124,33156,2
"EWMA(lambda=0.2, L=3.5)",burst,10,16,0.8,0.0069,0.0142,0.0279,1,4,278,40002,1
