detector,anomaly_type,window_size,n_trials,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,f1_mean,f1_std,detection_rate,avg_detection_latency,stdev_detection_latency
"CUSUM(k=0.5, h=3.5)",burst,20,30,0.5467,0.441,0.1176,0.1663,0.0026,0.0046,0.0051,0.0091,0.6667,0.25,0.54
"CUSUM(k=0.5, h=3.5)",gradual_drift,20,30,0.4367,0.3454,0.1183,0.1335,0.0059,0.0191,0.0109,0.0336,0.5333,1.69,1.36
"CUSUM(k=0.5, h=3.5)",rate_shift,20,30,0.4367,0.4105,0.1132,0.1342,0.0072,0.0234,0.0132,0.0413,0.6,0.67,1.2
"CUSUM(k=0.5, h=3.5)",transient,20,30,0.5,0.5,0.131,0.1764,0.0003,0.0007,0.0006,0.0013,0.5,0.0,0.0
"EWMA(lambda=0.2, L=3.5)",burst,20,30,0.5533,0.4403,0.1906,0.2555,0.0019,0.0038,0.0037,0.0074,0.6333,0.63,0.81
"EWMA(lambda=0.2, L=3.5)",gradual_drift,20,30,0.56,0.3618,0.2098,0.2046,0.0044,0.0119,0.0085,0.0222,0.5,1.4,1.54
"EWMA(lambda=0.2, L=3.5)",rate_shift,20,30,0.5417,0.4563,0.2056,0.2058,0.0048,0.0133,0.0092,0.0247,0.4667,0.21,0.41
"EWMA(lambda=0.2, L=3.5)",transient,20,30,0.3667,0.4819,0.2082,0.2563,0.0001,0.0003,0.0002,0.0007,0.3667,0.0,0.0
GatedCUSUM(n=2),burst,20,30,0.3733,0.4187,0.057,0.1282,0.0092,0.0242,0.017,0.0427,0.4667,0.86,0.52
GatedCUSUM(n=2),gradual_drift,20,30,0.2983,0.3429,0.0507,0.1047,0.0223,0.0669,0.0339,0.0866,0.1667,2.8,1.47
GatedCUSUM(n=2),rate_shift,20,30,0.315,0.4261,0.0486,0.1026,0.0275,0.0858,0.0381,0.1137,0.3667,0.82,0.83
GatedCUSUM(n=2),transient,20,30,0.1333,0.3399,0.0721,0.1453,0.0,0.0,0.0,0.0001,0.1667,0.2,0.4
GatedEWMA(n=2),burst,20,30,0.4533,0.3827,0.179,0.2495,0.0018,0.0037,0.0035,0.0073,0.6333,1.42,1.04
GatedEWMA(n=2),gradual_drift,20,30,0.5183,0.3611,0.1955,0.2017,0.0049,0.0141,0.0092,0.0258,0.3667,1.18,1.27
