detector,window,family,pr_auc,vus_pr,f1,precision,recall,event_f1,event_precision,event_recall,event_f1_opt,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k
ewma_z,10,statistical,0.6272691600940704,0.3039054924659653,0.7003955899869598,0.7225288327197773,0.8390951071895382,0.7399259187117593,0.7248298656648705,0.9158602150537635,0.8167727652417265,0.5325968839532504,0.6352743826558992,-1337.0154807474066,-2763.682953865686,0.9158602150537635,0.04053763440860215,202.85137609541252
ewma_z,20,statistical,0.6643858000523529,0.31286063816671733,0.7204146996240117,0.728294369614992,0.8588854129914212,0.7489947972888155,0.7307890799743908,0.9174731182795699,0.832309368154024,0.5600493712019985,0.6425290373548639,-1313.8908257089547,-2717.6286214078796,0.9174731182795699,0.13333333333333333,199.2695239651722
ewma_z,30,statistical,0.6790704812398984,0.3172963419562616,0.7324607406046332,0.7264968742915923,0.8804097923685432,0.7506110204683286,0.7287608738195284,0.9206989247311829,0.8366063110903353,0.580798573947551,0.6448802636857403,-1289.046502852279,-2668.1759383361496,0.9206989247311829,0.06344086021505377,195.73819615413606
ewma_z,50,statistical,0.6877484507345882,0.3223139275247235,0.7447779628410719,0.7248953558094228,0.8950081793592878,0.757229080129428,0.7272743971086706,0.9263440860215054,0.8470245671638554,0.6029930212842796,0.6402848197303268,-1244.189535937963,-2578.7725198089306,0.9255376344086023,0.2206451612903226,188.51625282383606
robust_z,10,robust,0.4469373752132429,0.27371871889864474,0.5414290067067512,0.5181779937872016,0.7616596365619579,0.5497454258290859,0.5210631969867029,0.7913978494623656,0.6152037289379737,0.3777478736152882,0.5614055272219513,-1509.3490913006538,-3097.767424633987,0.7887096774193548,0.04833333333333333,209.69905410406926
robust_z,20,robust,0.5983221664723711,0.31324088283619045,0.6674088117107416,0.6360093353889535,0.8464001550771062,0.6774154840273533,0.6413323569647967,0.8736559139784945,0.7649420919054213,0.5060463086849657,0.6121363237492382,-1496.3890026775837,-3078.526099451777,0.8744623655913978,0.0717741935483871,201.25912201313992
robust_z,30,robust,0.6487435071053814,0.3257051770290402,0.7133045909974656,0.6707309684351346,0.8759571045975775,0.7255559431222363,0.6731339893007887,0.9233870967741935,0.8155942453419933,0.5649656498682558,0.6238323150381262,-1362.7614773620635,-2815.3842192975476,0.9233870967741935,0.6541935483870968,166.05669642386817
robust_z,50,robust,0.6727035768061284,0.3388753563304227,0.7320143797449616,0.7054350337898359,0.8682232541597331,0.741795007642252,0.7070449013117412,0.9131720430107526,0.8420576433978221,0.5939591378959065,0.6353816865508224,-1335.1612645983341,-2759.140243092958,0.9131720430107526,0.5766666666666667,161.37661999047793
hampel,10,robust,0.4977034471947156,0.28491407882335407,0.5801347645154264,0.5709112588888066,0.7694089686784987,0.5893356675727033,0.5735247488176242,0.7997311827956989,0.6662533151273603,0.41771467313984906,0.5790611858576447,-1511.312830574407,-3101.4098467034387,0.7959677419354839,0.02564516129032258,205.62549789185564
hampel,20,robust,0.5993337796853426,0.31429235013467083,0.6640210175780294,0.6404105857679218,0.841175412022851,0.6744873020611377,0.6471543260857989,0.8698924731182797,0.7680308907733947,0.5055684656312571,0.6148509309929893,-1491.3937690045336,-3068.110113090555,0.8706989247311828,0.064247311827957,199.34266033863562
hampel,30,robust,0.6605202121611593,0.3290002481677908,0.719330034846407,0.6786318667275771,0.8758121760576598,0.7309907671496897,0.6808170047748282,0.9206989247311829,0.8277207131059177,0.5713779082466058,0.6257767981255715,-1379.7955133614287,-2849.3703789528263,0.9206989247311829,0.6158064516129033,167.29436975055967
hampel,50,robust,0.683911915297552,0.34184809388711557,0.7398574256764024,0.7121637663826519,0.871535052348966,0.7511116803784059,0.714641542724536,0.9185483870967742,0.8551201255553975,0.6013364518644668,0.6403466033214026,-1321.9466638199062,-2733.309647690874,0.9185483870967742,0.5740860215053764,160.3599811933366
cusum,10,changepoint,0.5276182606696054,0.2859809950429444,0.6035618884042712,0.6479611162256197,0.7758801992276702,0.6425948108435586,0.6514909134381762,0.8688172043010752,0.7384439903848175,0.4200827100241314,0.5964477442677301,-1279.5117509924373,-2645.5136327128675,0.8655913978494623,0.14446236559139786,215.87096695185573
cusum,20,changepoint,0.5262890668079737,0.2911871246639448,0.5998305332497033,0.6505741806312172,0.7778999781293727,0.6416353996648213,0.6549715680882028,0.8696236559139784,0.7562972038242991,0.4215124141892573,0.5936099442266539,-1264.4250298375491,-2614.340890052603,0.8647849462365591,0.23225806451612904,222.04714502816276
cusum,30,changepoint,0.5152128862355917,0.2911968275136692,0.5931410465550436,0.6472077986070351,0.7436861318250245,0.6348085833527971,0.6509881061828431,0.8336021505376344,0.7340804355656653,0.4130929289761936,0.5892407361815538,-1291.5892291535372,-2665.3753850675157,0.8317204301075268,0.2771505376344086,206.84525329181432
cusum,50,changepoint,0.5148679643351974,0.2986704587700032,0.5864589589128498,0.6321938133920586,0.745097197870213,0.6281140080146557,0.6372646542488655,0.8370967741935483,0.7301052334321374,0.4110436883651993,0.5916311380371263,-1269.027229894211,-2620.622660001738,0.8336021505376344,0.4682795698924731,200.86660555657937
page_hinkley,10,changepoint,0.22155886385734794,0.23032303885084715,0.29908740828737695,0.2955779757762176,0.6858314955370722,0.32954315574855036,0.30499801675988736,0.7575268817204301,0.42351040113386873,0.1581924075297821,0.4389761646377142,-1350.4669519191214,-2780.5692637470784,0.7478494623655915,0.15994623655913978,312.04279363069315
page_hinkley,20,changepoint,0.24945143214283583,0.2357478914588231,0.33614658692983196,0.3780095275496156,0.6615376916719631,0.3699010053590169,0.3863520819526397,0.7403225806451613,0.4471691758410876,0.20671832548402191,0.47479643926497334,-1301.2568433921908,-2680.4850423169223,0.7314516129032258,0.2884408602150538,267.08553553174966
page_hinkley,30,changepoint,0.2718606329194511,0.2432412622064886,0.36039102645920595,0.4209202025596101,0.6451572680179388,0.39789299556898555,0.4296400804806389,0.7379032258064516,0.4854154663739542,0.24010397849538634,0.5010343260723685,-1270.0057656785423,-2615.7895291194022,0.7260752688172043,0.27854838709677415,241.1641541416282
page_hinkley,50,changepoint,0.30926233542072085,0.25450065232512087,0.3997905965185316,0.48738348769619866,0.6210021168326065,0.4411317734385007,0.49504083630870765,0.7276881720430107,0.5383193565272987,0.29164899550073037,0.5319603708051989,-1197.7962591785142,-2469.9539473505574,0.7172043010752689,0.3620967741935484,203.21908249306884
ewmv_adaptive,10,statistical,0.20847955818087985,0.2638986463319416,0.2571465342035209,0.218711247953238,0.6483636138475638,0.34407300722466444,0.27409772384932185,0.8647849462365591,0.5109736906270659,0.11108556967621322,0.39412278566978154,-1156.6529267463347,-2402.003437499023,0.8586021505376344,1.2760752688172043,302.80196384367974
ewmv_adaptive,20,statistical,0.2350977128583931,0.286978730999374,0.2686930750818668,0.24702688586992907,0.6698377950824239,0.34917386814932677,0.28904376465666504,0.8379032258064516,0.44635290133933625,0.14543423870868116,0.3816430066471119,-1037.1425593617923,-2158.478419576846,0.8440860215053764,2.4891397849462367,314.91375907858645
ewmv_adaptive,30,statistical,0.254746086152831,0.3020168813361893,0.28295093706894714,0.26121774019060306,0.6778644035577837,0.35349911064949935,0.2960770461571526,0.8150537634408602,0.43204502444498927,0.17399495129141263,0.3810333678904218,-986.4402075668515,-2054.0094279969594,0.817741935483871,3.095376344086022,308.1184010658223
ewmv_adaptive,50,statistical,0.276914172627297,0.32064597140695006,0.2991557136278535,0.27691291710641036,0.7135975125698297,0.35550908848203266,0.3019671822523964,0.8123655913978495,0.4236278722432081,0.21810670851745265,0.3778952338334037,-972.9873384886187,-2026.1947578434574,0.8155913978494624,5.227096774193549,308.4609204717243
deriv,10,derivative,0.6300474684219465,0.3300267702431333,0.701576438660895,0.7216849169563695,0.8315004147969203,0.7470818567406408,0.7318330064059949,0.9110215053763442,0.8385989507450391,0.534542944888602,0.6429913843114008,-1376.7441379570055,-2842.4580626881884,0.9099462365591398,0.04623655913978495,199.24538467417787
deriv,20,derivative,0.6433812276818356,0.3547622800024734,0.7134883194390316,0.7234005907351713,0.8512593750994417,0.7755602788702161,0.7585965929764817,0.932258064516129,0.8814584217664936,0.5546090721702,0.6494485351784739,-1375.0938480946725,-2841.184493255963,0.932258064516129,0.033602150537634407,197.40949788141512
deriv,30,derivative,0.63741773568688,0.3652168456496092,0.7082893445496772,0.7150776109841308,0.8435865179066278,0.7787626531670737,0.7691476507617412,0.9268817204301074,0.8997556067240111,0.5574108687746738,0.6508567033874894,-1346.3912839285586,-2783.2458807027524,0.9268817204301074,0.04704301075268817,192.59605761491304
deriv,50,derivative,0.6247839140603588,0.37397573492494274,0.6937782527641104,0.7002833550052572,0.8357293318734862,0.7758988132849687,0.7736473113984356,0.9158602150537635,0.9211396728171112,0.5561239519064622,0.65285858842976,-1335.04591768956,-2759.491804786334,0.9158602150537635,0.04973118279569892,188.4684431305028
