detector,window,c_ns_per_sample,c_us_per_sample,sizeof_struct_bytes,c_state_bytes
ewma_z,10,10.5112,0.010511,696,16
ewma_z,20,8.7023,0.008702,696,16
ewma_z,30,8.6677,0.008668,696,16
ewma_z,50,8.6883,0.008688,696,16
robust_z,10,231.8465,0.231846,696,48
robust_z,20,571.6262,0.571626,696,88
robust_z,30,978.9124,0.978912,696,128
robust_z,50,1948.4517,1.948452,696,208
hampel,10,234.4498,0.234450,696,48
hampel,20,568.7614,0.568761,696,88
hampel,30,969.7095,0.969709,696,128
hampel,50,1930.6745,1.930674,696,208
cusum,10,13.4951,0.013495,696,24
cusum,20,13.3459,0.013346,696,24
cusum,30,13.1168,0.013117,696,24
cusum,50,13.3128,0.013313,696,24
page_hinkley,10,12.8808,0.012881,696,32
page_hinkley,20,13.2627,0.013263,696,32
page_hinkley,30,14.3247,0.014325,696,32
page_hinkley,50,13.9814,0.013981,696,32
ewmv_adaptive,10,12.6369,0.012637,696,20
ewmv_adaptive,20,12.6150,0.012615,696,20
ewmv_adaptive,30,12.9179,0.012918,696,20
ewmv_adaptive,50,12.5674,0.012567,696,20
deriv,10,4.9172,0.004917,696,20
deriv,20,4.9233,0.004923,696,20
deriv,30,4.9127,0.004913,696,20
deriv,50,4.9345,0.004934,696,20
acf_periodicity,10,25.3581,0.025358,696,56
acf_periodicity,20,42.0630,0.042063,696,96
acf_periodicity,30,57.9092,0.057909,696,136
acf_periodicity,50,86.7268,0.086727,696,216
heavy_baseline,10,244.0983,0.244098,696,48
heavy_baseline,20,602.2795,0.602280,696,88
heavy_baseline,30,1040.0285,1.040028,696,128
heavy_baseline,50,2022.1093,2.022109,696,208
