detector,window,family,py_us_per_sample,py_ns_per_sample,py_ns_p99,state_bytes,tracemalloc_bytes,c_ns_per_sample,c_us_per_sample,c_state_bytes,sizeof_struct_bytes
ewma_z,10,statistical,0.48541666666666666,485.4166666666667,495.3333333333333,16,1048,10.5112,0.010511,16,696
ewma_z,20,statistical,0.4758888888888889,475.8888888888889,477.94444444444446,16,1032,8.7023,0.008702,16,696
ewma_z,30,statistical,0.3795,379.5,569.8888888888889,16,1016,8.6677,0.008668,16,696
ewma_z,50,statistical,0.2674444444444445,267.44444444444446,270.9166666666667,16,1000,8.6883,0.008688,16,696
robust_z,10,robust,3.415777777777778,3415.777777777778,3848.1111111111113,48,1776,231.8465,0.231846,48,696
robust_z,20,robust,4.300027777777777,4300.027777777777,4368.444444444444,88,2064,571.6262,0.571626,88,696
robust_z,30,robust,6.020694444444445,6020.694444444444,6344.916666666667,128,2336,978.9124,0.978912,128,696
robust_z,50,robust,10.317777777777778,10317.777777777777,11295.166666666666,208,2960,1948.4517,1.948452,208,696
hampel,10,robust,2.7019444444444445,2701.9444444444443,2727.6944444444443,48,1696,234.4498,0.234450,48,696
hampel,20,robust,4.3366388888888885,4336.638888888889,4337.277777777777,88,1984,568.7614,0.568761,88,696
hampel,30,robust,19.602527777777777,19602.527777777777,20868.61111111111,128,2272,969.7095,0.969709,128,696
hampel,50,robust,35.75086111111111,35750.86111111111,45039.13888888889,208,2896,1930.6745,1.930674,208,696
cusum,10,changepoint,2.0216944444444445,2021.6944444444443,2189.8611111111113,24,856,13.4951,0.013495,24,696
cusum,20,changepoint,1.821388888888889,1821.388888888889,2076.1944444444443,24,840,13.3459,0.013346,24,696
cusum,30,changepoint,1.9504722222222222,1950.4722222222222,1959.1944444444443,24,808,13.1168,0.013117,24,696
cusum,50,changepoint,1.92275,1922.75,1934.25,24,792,13.3128,0.013313,24,696
page_hinkley,10,changepoint,2.078527777777778,2078.527777777778,2173.4444444444443,32,800,12.8808,0.012881,32,696
page_hinkley,20,changepoint,2.1131111111111114,2113.1111111111113,2631.3611111111113,32,784,13.2627,0.013263,32,696
page_hinkley,30,changepoint,2.2152777777777777,2215.277777777778,2273.8333333333335,32,768,14.3247,0.014325,32,696
page_hinkley,50,changepoint,2.2325,2232.5,2313.0555555555557,32,752,13.9814,0.013981,32,696
ewmv_adaptive,10,statistical,1.701861111111111,1701.861111111111,1851.638888888889,20,712,12.6369,0.012637,20,696
ewmv_adaptive,20,statistical,1.5663055555555556,1566.3055555555557,1878.388888888889,20,696,12.6150,0.012615,20,696
ewmv_adaptive,30,statistical,1.8083055555555556,1808.3055555555557,1861.2222222222222,20,664,12.9179,0.012918,20,696
ewmv_adaptive,50,statistical,1.6542777777777777,1654.2777777777778,1824.8333333333333,20,648,12.5674,0.012567,20,696
deriv,10,derivative,1.3788055555555556,1378.8055555555557,1580.611111111111,20,616,4.9172,0.004917,20,696
deriv,20,derivative,1.561027777777778,1561.0277777777778,2374.027777777778,20,600,4.9233,0.004923,20,696
deriv,30,derivative,1.408972222222222,1408.9722222222222,1440.5555555555557,20,584,4.9127,0.004913,20,696
deriv,50,derivative,1.5232777777777777,1523.2777777777778,1710.2777777777778,20,568,4.9345,0.004934,20,696
acf_periodicity,10,spectral,6.7163611111111114,6716.361111111111,6866.611111111111,56,808,25.3581,0.025358,56,696
acf_periodicity,20,spectral,7.435222222222222,7435.222222222223,10773.222222222223,96,1016,42.0630,0.042063,96,696
acf_periodicity,30,spectral,7.318916666666667,7318.916666666667,9278.0,136,1256,57.9092,0.057909,136,696
acf_periodicity,50,spectral,19.09036111111111,19090.36111111111,19471.805555555555,216,1736,86.7268,0.086727,216,696
heavy_baseline,10,baseline_heavy,26.046333333333333,26046.333333333332,26133.833333333332,48,1460,244.0983,0.244098,48,696
heavy_baseline,20,baseline_heavy,39.16630555555555,39166.305555555555,39701.75,88,1764,602.2795,0.602280,88,696
heavy_baseline,30,baseline_heavy,53.25861111111111,53258.61111111111,61001.52777777778,128,2068,1040.0285,1.040028,128,696
heavy_baseline,50,baseline_heavy,85.58311111111111,85583.11111111111,86634.69444444444,208,2708,2022.1093,2.022109,208,696
layered,10,ensemble,4.272638888888888,4272.638888888889,4591.333333333333,48,1112,,,,
layered,20,ensemble,4.26275,4262.75,4437.5,48,1112,,,,
layered,30,ensemble,4.578777777777777,4578.777777777777,4804.916666666667,48,1112,,,,
layered,50,ensemble,4.581138888888889,4581.138888888889,4742.833333333333,48,1112,,,,
voting,10,ensemble,42.588611111111106,42588.61111111111,44887.97222222222,184,2664,,,,
voting,20,ensemble,56.46472222222222,56464.72222222222,65774.69444444444,304,3128,,,,
voting,30,ensemble,70.66688888888889,70666.88888888889,71891.58333333333,424,3592,,,,
voting,50,ensemble,107.20427777777778,107204.27777777778,118916.44444444444,664,4552,,,,
cascade,10,ensemble,4.664194444444444,4664.194444444444,5269.666666666667,68,1592,,,,
cascade,20,ensemble,3.4603055555555557,3460.3055555555557,3710.6944444444443,108,1896,,,,
cascade,30,ensemble,4.924666666666667,4924.666666666667,5798.666666666667,148,2200,,,,
cascade,50,ensemble,7.796083333333333,7796.083333333333,7808.027777777777,228,2840,,,,
