detector,window,source,anomaly_type,base,seed,mag,stream,family,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k,threshold,anomaly_ratio
ewma_z,10,syn,spike,flat,0,4.0,syn|spike|flat|s0|m4.0,statistical,0.5555555555555556,0.1684915671529782,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,8.295864332334038,0.005
ewma_z,10,syn,spike,flat,1,4.0,syn|spike|flat|s1|m4.0,statistical,0.7142857142857143,0.21178544848990255,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,4.404811146272328,0.005
ewma_z,10,syn,spike,flat,2,4.0,syn|spike|flat|s2|m4.0,statistical,0.5972222222222222,0.1675475241751512,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6649916247906198,0.5,62.30472733262522,60.471393999291884,0.6666666666666666,0.0,1.6666666666666667,4.938022749205492,0.005
ewma_z,10,syn,spike,flat,3,4.0,syn|spike|flat|s3|m4.0,statistical,0.4904761904761905,0.153681802168521,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,5.561892674741216,0.005
ewma_z,10,syn,spike,flat,4,4.0,syn|spike|flat|s4|m4.0,statistical,0.625,0.1778022532873262,0.5714285714285715,0.5,0.6666666666666666,0.5749307298888423,0.5,60.471393999291884,56.80472733262522,0.6666666666666666,0.0,3.3333333333333335,4.107277650028375,0.005
ewma_z,10,syn,spike,flat,0,6.0,syn|spike|flat|s0|m6.0,statistical,1.0,0.25292651873296923,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,5.6298254471889555,0.005
ewma_z,10,syn,spike,flat,1,6.0,syn|spike|flat|s1|m6.0,statistical,0.9166666666666666,0.2474342508300749,0.8571428571428571,0.75,1.0,0.8652997853882577,0.5,94.37375766560449,92.54042433227117,1.0,0.0,1.6666666666666667,4.18081444991595,0.005
ewma_z,10,syn,spike,flat,2,6.0,syn|spike|flat|s2|m6.0,statistical,0.9166666666666666,0.22947153412711935,0.8571428571428571,0.75,1.0,0.8652997853882577,0.5,94.37375766560449,92.54042433227117,1.0,0.0,1.6666666666666667,4.636660415323853,0.005
ewma_z,10,syn,spike,flat,3,6.0,syn|spike|flat|s3|m6.0,statistical,1.0,0.2496361872210238,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,5.073812468814599,0.005
ewma_z,10,syn,spike,flat,4,6.0,syn|spike|flat|s4|m6.0,statistical,1.0,0.25048346906373836,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,5.174960010245805,0.005
